"ISO","year","mean_value","median_value","sd_value","min_value","max_value","count"
"NPL",2000,11,11,NA,11,11,1
"TCD",2017,11,11,NA,11,11,1
"UZB",2010,11,11,NA,11,11,1
"VEN",2006,11,11,NA,11,11,1
"ZAF",2000,11,11,NA,11,11,1
"BRA",2017,10,10,NA,10,10,1
"CHN",2006,10,10,NA,10,10,1
"COL",2018,10,10,NA,10,10,1
"GIN",2008,10,10,NA,10,10,1
"KEN",2018,10,10,NA,10,10,1
"KEN",2019,10,10,NA,10,10,1
"MLI",2008,10,10,NA,10,10,1
"MMR",2005,10,10,NA,10,10,1
"PER",2003,10,10,NA,10,10,1
"PER",2017,10,10,NA,10,10,1
"PNG",2001,10,10,NA,10,10,1
"SEN",2012,10,10,NA,10,10,1
"UKR",2017,10,10,NA,10,10,1
"AGO",2018,9,9,NA,9,9,1
"BDI",2013,9,9,NA,9,9,1
"BDI",2014,9,9,NA,9,9,1
"CAN",2000,9,9,NA,9,9,1
"DZA",2017,9,9,NA,9,9,1
"DZA",2018,9,9,NA,9,9,1
"GIN",2007,9,9,NA,9,9,1
"HND",2000,9,9,NA,9,9,1
"IRN",2000,9,9,NA,9,9,1
"LBY",2014,9,9,NA,9,9,1
"LKA",2003,9,9,NA,9,9,1
"PAK",2001,9,9,NA,9,9,1
"SEN",2009,9,9,NA,9,9,1
"THA",2006,9,9,NA,9,9,1
"THA",2012,9,9,NA,9,9,1
"TUN",2014,9,9,NA,9,9,1
"TUN",2019,9,9,NA,9,9,1
"VEN",2005,9,9,NA,9,9,1
"VEN",2017,9,9,NA,9,9,1
"AZE",2001,8,8,NA,8,8,1
"AZE",2015,8,8,NA,8,8,1
"BFA",2018,8,8,NA,8,8,1
"BGD",2006,8,8,NA,8,8,1
"BRA",2003,8,8,NA,8,8,1
"BRA",2007,8,8,NA,8,8,1
"CAN",2001,8,8,NA,8,8,1
"GEO",2005,8,8,NA,8,8,1
"GMB",2006,8,8,NA,8,8,1
"HND",2015,8,8,NA,8,8,1
"HND",2017,8,8,NA,8,8,1
"HTI",2018,8,8,NA,8,8,1
"IRN",2016,8,8,NA,8,8,1
"KEN",2005,8,8,NA,8,8,1
"MKD",2002,8,8,NA,8,8,1
"MOZ",2015,8,8,NA,8,8,1
"SAU",2006,8,8,NA,8,8,1
"SEN",2003,8,8,NA,8,8,1
"THA",2001,8,8,NA,8,8,1
"UKR",2019,8,8,NA,8,8,1
"USA",2018,8,8,NA,8,8,1
"VEN",2007,8,8,NA,8,8,1
"VEN",2009,8,8,NA,8,8,1
"VEN",2010,8,8,NA,8,8,1
"ARM",2016,7,7,NA,7,7,1
"BGD",2018,7,7,NA,7,7,1
"BRA",2009,7,7,NA,7,7,1
"COL",2017,7,7,NA,7,7,1
"DJI",2000,7,7,NA,7,7,1
"HND",2013,7,7,NA,7,7,1
"JAM",2004,7,7,NA,7,7,1
"KGZ",2011,7,7,NA,7,7,1
"MOZ",2011,7,7,NA,7,7,1
"PER",2004,7,7,NA,7,7,1
"PER",2007,7,7,NA,7,7,1
"PER",2008,7,7,NA,7,7,1
"SAU",2007,7,7,NA,7,7,1
"SEN",2011,7,7,NA,7,7,1
"THA",2011,7,7,NA,7,7,1
"TUN",2012,7,7,NA,7,7,1
"UGA",2015,7,7,NA,7,7,1
"ZMB",2002,7,7,NA,7,7,1
"AZE",2005,6,6,NA,6,6,1
"AZE",2018,6,6,NA,6,6,1
"BGD",2014,6,6,NA,6,6,1
"BGD",2019,6,6,NA,6,6,1
"BRA",2001,6,6,NA,6,6,1
"CAF",2001,6,6,NA,6,6,1
"COG",2006,6,6,NA,6,6,1
"DJI",2019,6,6,NA,6,6,1
"GIN",2013,6,6,NA,6,6,1
"HND",2001,6,6,NA,6,6,1
"IDN",2007,6,6,NA,6,6,1
"LBN",2000,6,6,NA,6,6,1
"LBN",2001,6,6,NA,6,6,1
"LBY",2009,6,6,NA,6,6,1
"MKD",2000,6,6,NA,6,6,1
"MRT",2012,6,6,NA,6,6,1
"PER",2016,6,6,NA,6,6,1
"PNG",2003,6,6,NA,6,6,1
"RUS",2018,6,6,NA,6,6,1
"RUS",2019,6,6,NA,6,6,1
"RWA",2013,6,6,NA,6,6,1
"RWA",2019,6,6,NA,6,6,1
"SEN",2010,6,6,NA,6,6,1
"TCD",2015,6,6,NA,6,6,1
"THA",2007,6,6,NA,6,6,1
"THA",2018,6,6,NA,6,6,1
"YEM",2004,6,6,NA,6,6,1
"AZE",2008,5,5,NA,5,5,1
"AZE",2011,5,5,NA,5,5,1
"AZE",2013,5,5,NA,5,5,1
"AZE",2016,5,5,NA,5,5,1
"CAF",2000,5,5,NA,5,5,1
"CHN",2016,5,5,NA,5,5,1
"FRA",2019,5,5,NA,5,5,1
"GHA",2010,5,5,NA,5,5,1
"GTM",2002,5,5,NA,5,5,1
"GTM",2008,5,5,NA,5,5,1
"IDN",2015,5,5,NA,5,5,1
"IRN",2013,5,5,NA,5,5,1
"IRN",2014,5,5,NA,5,5,1
"KGZ",2007,5,5,NA,5,5,1
"KHM",2012,5,5,NA,5,5,1
"LAO",2001,5,5,NA,5,5,1
"LKA",2014,5,5,NA,5,5,1
"MLI",2003,5,5,NA,5,5,1
"NAM",2003,5,5,NA,5,5,1
"NPL",2010,5,5,NA,5,5,1
"SWE",2018,5,5,NA,5,5,1
"THA",2019,5,5,NA,5,5,1
"TJK",2007,5,5,NA,5,5,1
"TJK",2010,5,5,NA,5,5,1
"VEN",2003,5,5,NA,5,5,1
"AGO",2006,4,4,NA,4,4,1
"ALB",2000,4,4,NA,4,4,1
"ARM",2017,4,4,NA,4,4,1
"BDI",2017,4,4,NA,4,4,1
"BGD",2003,4,4,NA,4,4,1
"BHR",2012,4,4,NA,4,4,1
"BRA",2011,4,4,NA,4,4,1
"BRA",2014,4,4,NA,4,4,1
"BRA",2016,4,4,NA,4,4,1
"CAF",2009,4,4,NA,4,4,1
"CIV",2014,4,4,NA,4,4,1
"EGY",2000,4,4,NA,4,4,1
"ESP",2001,4,4,NA,4,4,1
"FRA",2013,4,4,NA,4,4,1
"IDN",2009,4,4,NA,4,4,1
"JAM",2003,4,4,NA,4,4,1
"KEN",2004,4,4,NA,4,4,1
"MRT",2008,4,4,NA,4,4,1
"NER",2005,4,4,NA,4,4,1
"PER",2011,4,4,NA,4,4,1
"PER",2018,4,4,NA,4,4,1
"SEN",2013,4,4,NA,4,4,1
"SEN",2014,4,4,NA,4,4,1
"SYR",2005,4,4,NA,4,4,1
"TCD",2011,4,4,NA,4,4,1
"THA",2004,4,4,NA,4,4,1
"THA",2015,4,4,NA,4,4,1
"THA",2016,4,4,NA,4,4,1
"TJK",2019,4,4,NA,4,4,1
"TUR",2003,4,4,NA,4,4,1
"VEN",2011,4,4,NA,4,4,1
"VEN",2016,4,4,NA,4,4,1
"VEN",2019,4,4,NA,4,4,1
"AGO",2007,3,3,NA,3,3,1
"AGO",2009,3,3,NA,3,3,1
"AGO",2011,3,3,NA,3,3,1
"ARM",2013,3,3,NA,3,3,1
"AZE",2006,3,3,NA,3,3,1
"AZE",2010,3,3,NA,3,3,1
"BDI",2018,3,3,NA,3,3,1
"BEL",2019,3,3,NA,3,3,1
"BGD",2008,3,3,NA,3,3,1
"BGD",2009,3,3,NA,3,3,1
"CAF",2006,3,3,NA,3,3,1
"CHN",2018,3,3,NA,3,3,1
"CIV",2007,3,3,NA,3,3,1
"COG",2002,3,3,NA,3,3,1
"EGY",2001,3,3,NA,3,3,1
"GEO",2011,3,3,NA,3,3,1
"GIN",2006,3,3,NA,3,3,1
"GIN",2016,3,3,NA,3,3,1
"IDN",2012,3,3,NA,3,3,1
"IDN",2016,3,3,NA,3,3,1
"IRN",2015,3,3,NA,3,3,1
"LBN",2012,3,3,NA,3,3,1
"MKD",2001,3,3,NA,3,3,1
"MOZ",2016,3,3,NA,3,3,1
"NER",2015,3,3,NA,3,3,1
"PER",2005,3,3,NA,3,3,1
"PER",2012,3,3,NA,3,3,1
"PER",2014,3,3,NA,3,3,1
"PER",2015,3,3,NA,3,3,1
"RWA",2014,3,3,NA,3,3,1
"SAU",2019,3,3,NA,3,3,1
"SEN",2005,3,3,NA,3,3,1
"THA",2017,3,3,NA,3,3,1
"TUN",2018,3,3,NA,3,3,1
"TUR",2015,3,3,NA,3,3,1
"TZA",2008,3,3,NA,3,3,1
"VEN",2001,3,3,NA,3,3,1
"VEN",2004,3,3,NA,3,3,1
"VEN",2008,3,3,NA,3,3,1
"VEN",2014,3,3,NA,3,3,1
"VEN",2015,3,3,NA,3,3,1
"VEN",2018,3,3,NA,3,3,1
"ZWE",2019,3,3,NA,3,3,1
"AGO",2014,2,2,NA,2,2,1
"AZE",2002,2,2,NA,2,2,1
"AZE",2012,2,2,NA,2,2,1
"AZE",2014,2,2,NA,2,2,1
"AZE",2019,2,2,NA,2,2,1
"BGD",2000,2,2,NA,2,2,1
"BGD",2004,2,2,NA,2,2,1
"BGD",2010,2,2,NA,2,2,1
"BGD",2016,2,2,NA,2,2,1
"CIV",2002,2,2,NA,2,2,1
"COG",2008,2,2,NA,2,2,1
"ECU",2002,2,2,NA,2,2,1
"ESP",2002,2,2,NA,2,2,1
"ESP",2003,2,2,NA,2,2,1
"ESP",2004,2,2,NA,2,2,1
"ESP",2010,2,2,NA,2,2,1
"FRA",2008,2,2,NA,2,2,1
"FRA",2018,2,2,NA,2,2,1
"GBR",2010,2,2,NA,2,2,1
"GTM",2003,2,2,NA,2,2,1
"IDN",2008,2,2,NA,2,2,1
"IRN",2004,2,2,NA,2,2,1
"KHM",2008,2,2,NA,2,2,1
"KHM",2009,2,2,NA,2,2,1
"KHM",2010,2,2,NA,2,2,1
"LAO",2000,2,2,NA,2,2,1
"LAO",2003,2,2,NA,2,2,1
"LAO",2004,2,2,NA,2,2,1
"LAO",2005,2,2,NA,2,2,1
"LBN",2002,2,2,NA,2,2,1
"LBN",2019,2,2,NA,2,2,1
"MOZ",2013,2,2,NA,2,2,1
"MOZ",2018,2,2,NA,2,2,1
"PER",2001,2,2,NA,2,2,1
"RWA",2010,2,2,NA,2,2,1
"RWA",2017,2,2,NA,2,2,1
"RWA",2018,2,2,NA,2,2,1
"SAU",2008,2,2,NA,2,2,1
"TJK",2000,2,2,NA,2,2,1
"TJK",2014,2,2,NA,2,2,1
"TJK",2015,2,2,NA,2,2,1
"TUN",2013,2,2,NA,2,2,1
"USA",2011,2,2,NA,2,2,1
"VEN",2000,2,2,NA,2,2,1
"VEN",2002,2,2,NA,2,2,1
"VEN",2012,2,2,NA,2,2,1
"ZAF",2003,2,2,NA,2,2,1
"ZAF",2017,2,2,NA,2,2,1
"AGO",2012,1,1,NA,1,1,1
"AGO",2016,1,1,NA,1,1,1
"ARE",2011,1,1,NA,1,1,1
"ARM",2006,1,1,NA,1,1,1
"ARM",2007,1,1,NA,1,1,1
"ARM",2014,1,1,NA,1,1,1
"ARM",2019,1,1,NA,1,1,1
"AUS",2019,1,1,NA,1,1,1
"AZE",2007,1,1,NA,1,1,1
"BDI",2012,1,1,NA,1,1,1
"BGD",2011,1,1,NA,1,1,1
"BGD",2013,1,1,NA,1,1,1
"BGD",2015,1,1,NA,1,1,1
"BRA",2015,1,1,NA,1,1,1
"CAN",2002,1,1,NA,1,1,1
"CIV",2008,1,1,NA,1,1,1
"CIV",2009,1,1,NA,1,1,1
"CIV",2010,1,1,NA,1,1,1
"CMR",2001,1,1,NA,1,1,1
"CMR",2014,1,1,NA,1,1,1
"COG",2009,1,1,NA,1,1,1
"COG",2012,1,1,NA,1,1,1
"COG",2013,1,1,NA,1,1,1
"DJI",2015,1,1,NA,1,1,1
"EGY",2007,1,1,NA,1,1,1
"EGY",2009,1,1,NA,1,1,1
"EGY",2010,1,1,NA,1,1,1
"EGY",2011,1,1,NA,1,1,1
"ESP",2009,1,1,NA,1,1,1
"ESP",2012,1,1,NA,1,1,1
"GBR",2001,1,1,NA,1,1,1
"GBR",2002,1,1,NA,1,1,1
"GBR",2003,1,1,NA,1,1,1
"GBR",2004,1,1,NA,1,1,1
"GBR",2005,1,1,NA,1,1,1
"GBR",2012,1,1,NA,1,1,1
"GHA",2011,1,1,NA,1,1,1
"GIN",2011,1,1,NA,1,1,1
"GMB",2005,1,1,NA,1,1,1
"GMB",2013,1,1,NA,1,1,1
"GTM",2005,1,1,NA,1,1,1
"GTM",2010,1,1,NA,1,1,1
"HND",2003,1,1,NA,1,1,1
"IDN",2013,1,1,NA,1,1,1
"IDN",2018,1,1,NA,1,1,1
"JOR",2016,1,1,NA,1,1,1
"KGZ",2016,1,1,NA,1,1,1
"KHM",2001,1,1,NA,1,1,1
"KHM",2004,1,1,NA,1,1,1
"KHM",2013,1,1,NA,1,1,1
"LBN",2004,1,1,NA,1,1,1
"LBN",2006,1,1,NA,1,1,1
"LKA",2012,1,1,NA,1,1,1
"LKA",2018,1,1,NA,1,1,1
"MDG",2018,1,1,NA,1,1,1
"MOZ",2005,1,1,NA,1,1,1
"MRT",2010,1,1,NA,1,1,1
"MRT",2011,1,1,NA,1,1,1
"MRT",2013,1,1,NA,1,1,1
"MYS",2018,1,1,NA,1,1,1
"NAM",2000,1,1,NA,1,1,1
"NER",2013,1,1,NA,1,1,1
"SEN",2019,1,1,NA,1,1,1
"SLE",2003,1,1,NA,1,1,1
"SYR",2009,1,1,NA,1,1,1
"THA",2000,1,1,NA,1,1,1
"TJK",2006,1,1,NA,1,1,1
"TZA",2018,1,1,NA,1,1,1
"TZA",2019,1,1,NA,1,1,1
"UGA",2019,1,1,NA,1,1,1
"ZAF",2011,1,1,NA,1,1,1
"ZAF",2019,1,1,NA,1,1,1
"ZMB",2001,1,1,NA,1,1,1
"ZWE",2000,1,1,NA,1,1,1
"ZWE",2012,1,1,NA,1,1,1
"ZWE",2013,1,1,NA,1,1,1
"AGO",2013,0,0,NA,0,0,1
"AGO",2015,0,0,NA,0,0,1
"ALB",2001,0,0,NA,0,0,1
"ALB",2002,0,0,NA,0,0,1
"ALB",2003,0,0,NA,0,0,1
"ALB",2004,0,0,NA,0,0,1
"ALB",2005,0,0,NA,0,0,1
"ALB",2006,0,0,NA,0,0,1
"ALB",2007,0,0,NA,0,0,1
"ALB",2008,0,0,NA,0,0,1
"ALB",2009,0,0,NA,0,0,1
"ALB",2010,0,0,NA,0,0,1
"ALB",2011,0,0,NA,0,0,1
"ALB",2012,0,0,NA,0,0,1
"ALB",2013,0,0,NA,0,0,1
"ALB",2014,0,0,NA,0,0,1
"ALB",2015,0,0,NA,0,0,1
"ALB",2016,0,0,NA,0,0,1
"ALB",2017,0,0,NA,0,0,1
"ALB",2018,0,0,NA,0,0,1
"ALB",2019,0,0,NA,0,0,1
"AND",2000,0,0,NA,0,0,1
"AND",2001,0,0,NA,0,0,1
"AND",2002,0,0,NA,0,0,1
"AND",2003,0,0,NA,0,0,1
"AND",2004,0,0,NA,0,0,1
"AND",2005,0,0,NA,0,0,1
"AND",2006,0,0,NA,0,0,1
"AND",2007,0,0,NA,0,0,1
"AND",2008,0,0,NA,0,0,1
"AND",2009,0,0,NA,0,0,1
"AND",2010,0,0,NA,0,0,1
"AND",2011,0,0,NA,0,0,1
"AND",2012,0,0,NA,0,0,1
"AND",2013,0,0,NA,0,0,1
"AND",2014,0,0,NA,0,0,1
"AND",2015,0,0,NA,0,0,1
"AND",2016,0,0,NA,0,0,1
"AND",2017,0,0,NA,0,0,1
"AND",2018,0,0,NA,0,0,1
"AND",2019,0,0,NA,0,0,1
"ARE",2000,0,0,NA,0,0,1
"ARE",2001,0,0,NA,0,0,1
"ARE",2002,0,0,NA,0,0,1
"ARE",2003,0,0,NA,0,0,1
"ARE",2004,0,0,NA,0,0,1
"ARE",2005,0,0,NA,0,0,1
"ARE",2006,0,0,NA,0,0,1
"ARE",2007,0,0,NA,0,0,1
"ARE",2008,0,0,NA,0,0,1
"ARE",2009,0,0,NA,0,0,1
"ARE",2010,0,0,NA,0,0,1
"ARE",2012,0,0,NA,0,0,1
"ARE",2013,0,0,NA,0,0,1
"ARE",2014,0,0,NA,0,0,1
"ARE",2015,0,0,NA,0,0,1
"ARE",2016,0,0,NA,0,0,1
"ARE",2017,0,0,NA,0,0,1
"ARE",2018,0,0,NA,0,0,1
"ARE",2019,0,0,NA,0,0,1
"ARG",2000,0,0,NA,0,0,1
"ARG",2001,0,0,NA,0,0,1
"ARG",2002,0,0,NA,0,0,1
"ARG",2003,0,0,NA,0,0,1
"ARG",2004,0,0,NA,0,0,1
"ARG",2005,0,0,NA,0,0,1
"ARG",2006,0,0,NA,0,0,1
"ARG",2007,0,0,NA,0,0,1
"ARG",2008,0,0,NA,0,0,1
"ARG",2009,0,0,NA,0,0,1
"ARG",2010,0,0,NA,0,0,1
"ARG",2011,0,0,NA,0,0,1
"ARG",2012,0,0,NA,0,0,1
"ARG",2013,0,0,NA,0,0,1
"ARG",2014,0,0,NA,0,0,1
"ARG",2015,0,0,NA,0,0,1
"ARG",2016,0,0,NA,0,0,1
"ARG",2017,0,0,NA,0,0,1
"ARG",2018,0,0,NA,0,0,1
"ARG",2019,0,0,NA,0,0,1
"ARM",2000,0,0,NA,0,0,1
"ARM",2001,0,0,NA,0,0,1
"ARM",2002,0,0,NA,0,0,1
"ARM",2003,0,0,NA,0,0,1
"ARM",2004,0,0,NA,0,0,1
"ARM",2005,0,0,NA,0,0,1
"ARM",2008,0,0,NA,0,0,1
"ARM",2009,0,0,NA,0,0,1
"ARM",2010,0,0,NA,0,0,1
"ARM",2011,0,0,NA,0,0,1
"ARM",2012,0,0,NA,0,0,1
"ARM",2015,0,0,NA,0,0,1
"ARM",2018,0,0,NA,0,0,1
"ATG",2000,0,0,NA,0,0,1
"ATG",2001,0,0,NA,0,0,1
"ATG",2002,0,0,NA,0,0,1
"ATG",2003,0,0,NA,0,0,1
"ATG",2004,0,0,NA,0,0,1
"ATG",2005,0,0,NA,0,0,1
"ATG",2006,0,0,NA,0,0,1
"ATG",2007,0,0,NA,0,0,1
"ATG",2008,0,0,NA,0,0,1
"ATG",2009,0,0,NA,0,0,1
"ATG",2010,0,0,NA,0,0,1
"ATG",2011,0,0,NA,0,0,1
"ATG",2012,0,0,NA,0,0,1
"ATG",2013,0,0,NA,0,0,1
"ATG",2014,0,0,NA,0,0,1
"ATG",2015,0,0,NA,0,0,1
"ATG",2016,0,0,NA,0,0,1
"ATG",2017,0,0,NA,0,0,1
"ATG",2018,0,0,NA,0,0,1
"ATG",2019,0,0,NA,0,0,1
"AUS",2000,0,0,NA,0,0,1
"AUS",2001,0,0,NA,0,0,1
"AUS",2002,0,0,NA,0,0,1
"AUS",2003,0,0,NA,0,0,1
"AUS",2004,0,0,NA,0,0,1
"AUS",2005,0,0,NA,0,0,1
"AUS",2006,0,0,NA,0,0,1
"AUS",2007,0,0,NA,0,0,1
"AUS",2008,0,0,NA,0,0,1
"AUS",2009,0,0,NA,0,0,1
"AUS",2010,0,0,NA,0,0,1
"AUS",2011,0,0,NA,0,0,1
"AUS",2012,0,0,NA,0,0,1
"AUS",2013,0,0,NA,0,0,1
"AUS",2014,0,0,NA,0,0,1
"AUS",2015,0,0,NA,0,0,1
"AUS",2016,0,0,NA,0,0,1
"AUS",2017,0,0,NA,0,0,1
"AUS",2018,0,0,NA,0,0,1
"AUT",2000,0,0,NA,0,0,1
"AUT",2001,0,0,NA,0,0,1
"AUT",2002,0,0,NA,0,0,1
"AUT",2003,0,0,NA,0,0,1
"AUT",2004,0,0,NA,0,0,1
"AUT",2005,0,0,NA,0,0,1
"AUT",2006,0,0,NA,0,0,1
"AUT",2007,0,0,NA,0,0,1
"AUT",2008,0,0,NA,0,0,1
"AUT",2009,0,0,NA,0,0,1
"AUT",2010,0,0,NA,0,0,1
"AUT",2011,0,0,NA,0,0,1
"AUT",2012,0,0,NA,0,0,1
"AUT",2013,0,0,NA,0,0,1
"AUT",2014,0,0,NA,0,0,1
"AUT",2015,0,0,NA,0,0,1
"AUT",2016,0,0,NA,0,0,1
"AUT",2017,0,0,NA,0,0,1
"AUT",2018,0,0,NA,0,0,1
"AUT",2019,0,0,NA,0,0,1
"AZE",2003,0,0,NA,0,0,1
"AZE",2004,0,0,NA,0,0,1
"BDI",2010,0,0,NA,0,0,1
"BDI",2011,0,0,NA,0,0,1
"BEL",2000,0,0,NA,0,0,1
"BEL",2001,0,0,NA,0,0,1
"BEL",2002,0,0,NA,0,0,1
"BEL",2003,0,0,NA,0,0,1
"BEL",2004,0,0,NA,0,0,1
"BEL",2005,0,0,NA,0,0,1
"BEL",2006,0,0,NA,0,0,1
"BEL",2007,0,0,NA,0,0,1
"BEL",2008,0,0,NA,0,0,1
"BEL",2009,0,0,NA,0,0,1
"BEL",2010,0,0,NA,0,0,1
"BEL",2011,0,0,NA,0,0,1
"BEL",2012,0,0,NA,0,0,1
"BEL",2013,0,0,NA,0,0,1
"BEL",2014,0,0,NA,0,0,1
"BEL",2015,0,0,NA,0,0,1
"BEL",2016,0,0,NA,0,0,1
"BEL",2018,0,0,NA,0,0,1
"BEN",2000,0,0,NA,0,0,1
"BEN",2001,0,0,NA,0,0,1
"BEN",2002,0,0,NA,0,0,1
"BEN",2003,0,0,NA,0,0,1
"BEN",2004,0,0,NA,0,0,1
"BEN",2005,0,0,NA,0,0,1
"BEN",2006,0,0,NA,0,0,1
"BEN",2007,0,0,NA,0,0,1
"BEN",2008,0,0,NA,0,0,1
"BEN",2009,0,0,NA,0,0,1
"BEN",2010,0,0,NA,0,0,1
"BEN",2011,0,0,NA,0,0,1
"BEN",2012,0,0,NA,0,0,1
"BEN",2013,0,0,NA,0,0,1
"BEN",2014,0,0,NA,0,0,1
"BEN",2015,0,0,NA,0,0,1
"BEN",2016,0,0,NA,0,0,1
"BEN",2017,0,0,NA,0,0,1
"BEN",2018,0,0,NA,0,0,1
"BEN",2019,0,0,NA,0,0,1
"BFA",2000,0,0,NA,0,0,1
"BFA",2001,0,0,NA,0,0,1
"BFA",2002,0,0,NA,0,0,1
"BFA",2003,0,0,NA,0,0,1
"BFA",2004,0,0,NA,0,0,1
"BFA",2005,0,0,NA,0,0,1
"BFA",2006,0,0,NA,0,0,1
"BFA",2007,0,0,NA,0,0,1
"BFA",2008,0,0,NA,0,0,1
"BFA",2009,0,0,NA,0,0,1
"BFA",2010,0,0,NA,0,0,1
"BFA",2011,0,0,NA,0,0,1
"BFA",2012,0,0,NA,0,0,1
"BFA",2013,0,0,NA,0,0,1
"BFA",2014,0,0,NA,0,0,1
"BFA",2015,0,0,NA,0,0,1
"BFA",2016,0,0,NA,0,0,1
"BGD",2012,0,0,NA,0,0,1
"BGR",2000,0,0,NA,0,0,1
"BGR",2001,0,0,NA,0,0,1
"BGR",2002,0,0,NA,0,0,1
"BGR",2003,0,0,NA,0,0,1
"BGR",2004,0,0,NA,0,0,1
"BGR",2005,0,0,NA,0,0,1
"BGR",2006,0,0,NA,0,0,1
"BGR",2007,0,0,NA,0,0,1
"BGR",2008,0,0,NA,0,0,1
"BGR",2009,0,0,NA,0,0,1
"BGR",2010,0,0,NA,0,0,1
"BGR",2011,0,0,NA,0,0,1
"BGR",2012,0,0,NA,0,0,1
"BGR",2013,0,0,NA,0,0,1
"BGR",2014,0,0,NA,0,0,1
"BGR",2015,0,0,NA,0,0,1
"BGR",2016,0,0,NA,0,0,1
"BGR",2017,0,0,NA,0,0,1
"BGR",2018,0,0,NA,0,0,1
"BGR",2019,0,0,NA,0,0,1
"BHR",2000,0,0,NA,0,0,1
"BHR",2001,0,0,NA,0,0,1
"BHR",2002,0,0,NA,0,0,1
"BHR",2003,0,0,NA,0,0,1
"BHR",2004,0,0,NA,0,0,1
"BHR",2005,0,0,NA,0,0,1
"BHR",2006,0,0,NA,0,0,1
"BHR",2007,0,0,NA,0,0,1
"BHR",2008,0,0,NA,0,0,1
"BHR",2009,0,0,NA,0,0,1
"BHR",2010,0,0,NA,0,0,1
"BHR",2011,0,0,NA,0,0,1
"BHR",2013,0,0,NA,0,0,1
"BHR",2014,0,0,NA,0,0,1
"BHR",2015,0,0,NA,0,0,1
"BHR",2016,0,0,NA,0,0,1
"BHR",2017,0,0,NA,0,0,1
"BHR",2018,0,0,NA,0,0,1
"BHR",2019,0,0,NA,0,0,1
"BHS",2000,0,0,NA,0,0,1
"BHS",2001,0,0,NA,0,0,1
"BHS",2002,0,0,NA,0,0,1
"BHS",2003,0,0,NA,0,0,1
"BHS",2004,0,0,NA,0,0,1
"BHS",2005,0,0,NA,0,0,1
"BHS",2006,0,0,NA,0,0,1
"BHS",2007,0,0,NA,0,0,1
"BHS",2008,0,0,NA,0,0,1
"BHS",2009,0,0,NA,0,0,1
"BHS",2010,0,0,NA,0,0,1
"BHS",2011,0,0,NA,0,0,1
"BHS",2012,0,0,NA,0,0,1
"BHS",2013,0,0,NA,0,0,1
"BHS",2014,0,0,NA,0,0,1
"BHS",2015,0,0,NA,0,0,1
"BHS",2016,0,0,NA,0,0,1
"BHS",2017,0,0,NA,0,0,1
"BHS",2018,0,0,NA,0,0,1
"BHS",2019,0,0,NA,0,0,1
"BIH",2000,0,0,NA,0,0,1
"BIH",2001,0,0,NA,0,0,1
"BIH",2002,0,0,NA,0,0,1
"BIH",2003,0,0,NA,0,0,1
"BIH",2004,0,0,NA,0,0,1
"BIH",2005,0,0,NA,0,0,1
"BIH",2006,0,0,NA,0,0,1
"BIH",2007,0,0,NA,0,0,1
"BIH",2008,0,0,NA,0,0,1
"BIH",2009,0,0,NA,0,0,1
"BIH",2010,0,0,NA,0,0,1
"BIH",2011,0,0,NA,0,0,1
"BIH",2012,0,0,NA,0,0,1
"BIH",2013,0,0,NA,0,0,1
"BIH",2014,0,0,NA,0,0,1
"BIH",2015,0,0,NA,0,0,1
"BIH",2016,0,0,NA,0,0,1
"BIH",2017,0,0,NA,0,0,1
"BIH",2018,0,0,NA,0,0,1
"BIH",2019,0,0,NA,0,0,1
"BLR",2000,0,0,NA,0,0,1
"BLR",2001,0,0,NA,0,0,1
"BLR",2002,0,0,NA,0,0,1
"BLR",2003,0,0,NA,0,0,1
"BLR",2004,0,0,NA,0,0,1
"BLR",2005,0,0,NA,0,0,1
"BLR",2006,0,0,NA,0,0,1
"BLR",2007,0,0,NA,0,0,1
"BLR",2008,0,0,NA,0,0,1
"BLR",2009,0,0,NA,0,0,1
"BLR",2010,0,0,NA,0,0,1
"BLR",2011,0,0,NA,0,0,1
"BLR",2012,0,0,NA,0,0,1
"BLR",2013,0,0,NA,0,0,1
"BLR",2014,0,0,NA,0,0,1
"BLR",2015,0,0,NA,0,0,1
"BLR",2016,0,0,NA,0,0,1
"BLR",2017,0,0,NA,0,0,1
"BLR",2018,0,0,NA,0,0,1
"BLR",2019,0,0,NA,0,0,1
"BLZ",2000,0,0,NA,0,0,1
"BLZ",2001,0,0,NA,0,0,1
"BLZ",2002,0,0,NA,0,0,1
"BLZ",2003,0,0,NA,0,0,1
"BLZ",2004,0,0,NA,0,0,1
"BLZ",2005,0,0,NA,0,0,1
"BLZ",2006,0,0,NA,0,0,1
"BLZ",2007,0,0,NA,0,0,1
"BLZ",2008,0,0,NA,0,0,1
"BLZ",2009,0,0,NA,0,0,1
"BLZ",2010,0,0,NA,0,0,1
"BLZ",2011,0,0,NA,0,0,1
"BLZ",2012,0,0,NA,0,0,1
"BLZ",2013,0,0,NA,0,0,1
"BLZ",2014,0,0,NA,0,0,1
"BLZ",2015,0,0,NA,0,0,1
"BLZ",2016,0,0,NA,0,0,1
"BLZ",2017,0,0,NA,0,0,1
"BLZ",2018,0,0,NA,0,0,1
"BLZ",2019,0,0,NA,0,0,1
"BOL",2000,0,0,NA,0,0,1
"BOL",2002,0,0,NA,0,0,1
"BOL",2003,0,0,NA,0,0,1
"BOL",2004,0,0,NA,0,0,1
