"ISO","year","mean_value","median_value","sd_value","min_value","max_value","count"
"CHN",2010,185,185,NA,185,185,1
"LBN",2018,184,184,NA,184,184,1
"NGA",2014,183,183,NA,183,183,1
"IND",2007,182,182,NA,182,182,1
"PHL",2001,180,180,NA,180,180,1
"YEM",2019,180,180,NA,180,180,1
"COD",2017,177,177,NA,177,177,1
"UKR",2016,177,177,NA,177,177,1
"NGA",2003,175,175,NA,175,175,1
"NGA",2011,174,174,NA,174,174,1
"BDI",2003,173,173,NA,173,173,1
"MMR",2013,173,173,NA,173,173,1
"SSD",2018,172,172,NA,172,172,1
"COD",2008,171,171,NA,171,171,1
"COL",2005,171,171,NA,171,171,1
"AFG",2010,170,170,NA,170,170,1
"ETH",2003,170,170,NA,170,170,1
"PHL",2004,170,170,NA,170,170,1
"BDI",2005,166,166,NA,166,166,1
"TUR",2017,164,164,NA,164,164,1
"SDN",2014,163,163,NA,163,163,1
"CAF",2002,162,162,NA,162,162,1
"AFG",2017,158,158,NA,158,158,1
"AFG",2011,157,157,NA,157,157,1
"GIN",2010,157,157,NA,157,157,1
"RUS",2003,155,155,NA,155,155,1
"AFG",2018,153,153,NA,153,153,1
"IRQ",2010,153,153,NA,153,153,1
"BDI",2002,152,152,NA,152,152,1
"KEN",2016,152,152,NA,152,152,1
"CIV",2012,151,151,NA,151,151,1
"IRQ",2000,151,151,NA,151,151,1
"COL",2002,150,150,NA,150,150,1
"IDN",2000,150,150,NA,150,150,1
"SDN",2013,150,150,NA,150,150,1
"PAK",2019,149,149,NA,149,149,1
"LKA",2009,147,147,NA,147,147,1
"PAK",2015,146,146,NA,146,146,1
"YEM",2016,146,146,NA,146,146,1
"SSD",2016,144,144,NA,144,144,1
"IND",2011,141,141,NA,141,141,1
"IRQ",2006,141,141,NA,141,141,1
"LBY",2018,141,141,NA,141,141,1
"RUS",2006,141,141,NA,141,141,1
"SDN",2011,140,140,NA,140,140,1
"YEM",2017,140,140,NA,140,140,1
"AFG",2012,138,138,NA,138,138,1
"CAF",2018,137,137,NA,137,137,1
"COD",2007,135,135,NA,135,135,1
"KEN",2001,135,135,NA,135,135,1
"CIV",2005,130,130,NA,130,130,1
"FRA",2016,130,130,NA,130,130,1
"CMR",2019,129,129,NA,129,129,1
"SSD",2019,128,128,NA,128,128,1
"SOM",2007,127,127,NA,127,127,1
"SSD",2013,127,127,NA,127,127,1
"NGA",2012,126,126,NA,126,126,1
"TCD",2002,126,126,NA,126,126,1
"IRQ",2012,125,125,NA,125,125,1
"SDN",2008,125,125,NA,125,125,1
"TCD",2003,125,125,NA,125,125,1
"IRQ",2011,121,121,NA,121,121,1
"SYR",2012,121,121,NA,121,121,1
"ETH",2011,120,120,NA,120,120,1
"YEM",2015,120,120,NA,120,120,1
"IDN",2002,118,118,NA,118,118,1
"MEX",2008,118,118,NA,118,118,1
"CAF",2017,117,117,NA,117,117,1
"CMR",2015,117,117,NA,117,117,1
"GIN",2001,116,116,NA,116,116,1
"PHL",2005,116,116,NA,116,116,1
"IDN",2001,114,114,NA,114,114,1
"CAF",2019,112,112,NA,112,112,1
"IDN",2006,112,112,NA,112,112,1
"YEM",2018,109,109,NA,109,109,1
"UZB",2001,108,108,NA,108,108,1
"IDN",2004,106,106,NA,106,106,1
"AFG",2008,105,105,NA,105,105,1
"LBY",2013,105,105,NA,105,105,1
"SOM",2013,103,103,NA,103,103,1
"MMR",2012,102,102,NA,102,102,1
"TUR",2016,102,102,NA,102,102,1
"ETH",2018,101,101,NA,101,101,1
"EGY",2017,100,100,NA,100,100,1
"ETH",2002,100,100,NA,100,100,1
"ETH",2007,100,100,NA,100,100,1
"KEN",2000,100,100,NA,100,100,1
"MMR",2008,100,100,NA,100,100,1
"NGA",2004,100,100,NA,100,100,1
"NGA",2006,100,100,NA,100,100,1
"SEN",2007,100,100,NA,100,100,1
"SOM",2012,100,100,NA,100,100,1
"TCD",2006,100,100,NA,100,100,1
"TCD",2008,100,100,NA,100,100,1
"PAK",2014,97,97,NA,97,97,1
"BDI",2016,95,95,NA,95,95,1
"ETH",2016,95,95,NA,95,95,1
"LBN",2015,95,95,NA,95,95,1
"UGA",2001,95,95,NA,95,95,1
"SOM",2019,93,93,NA,93,93,1
"NPL",2006,91,91,NA,91,91,1
"IRN",2012,90,90,NA,90,90,1
"IRQ",2009,90,90,NA,90,90,1
"MMR",2006,90,90,NA,90,90,1
"TGO",2006,90,90,NA,90,90,1
"AFG",2006,89,89,NA,89,89,1
"PAK",2012,89,89,NA,89,89,1
"EGY",2006,88,88,NA,88,88,1
"NER",2017,88,88,NA,88,88,1
"PAK",2018,88,88,NA,88,88,1
"AFG",2007,87,87,NA,87,87,1
"BDI",2000,87,87,NA,87,87,1
"GIN",2014,87,87,NA,87,87,1
"PAK",2016,87,87,NA,87,87,1
"FRA",2017,86,86,NA,86,86,1
"UGA",2003,86,86,NA,86,86,1
"COD",2011,85,85,NA,85,85,1
"MMR",2003,84,84,NA,84,84,1
"SOM",2005,84,84,NA,84,84,1
"IND",2016,83,83,NA,83,83,1
"PHL",2007,83,83,NA,83,83,1
"MEX",2006,82,82,NA,82,82,1
"PAK",2007,82,82,NA,82,82,1
"PAK",2009,82,82,NA,82,82,1
"SOM",2010,81,81,NA,81,81,1
"AGO",2003,80,80,NA,80,80,1
"COL",2006,80,80,NA,80,80,1
"GNB",2000,80,80,NA,80,80,1
"IND",2003,80,80,NA,80,80,1
"LBY",2016,80,80,NA,80,80,1
"SOM",2015,80,80,NA,80,80,1
"UKR",2018,80,80,NA,80,80,1
"COG",2003,79,79,NA,79,79,1
"LBY",2015,79,79,NA,79,79,1
"MEX",2014,79,79,NA,79,79,1
"SOM",2011,79,79,NA,79,79,1
"THA",2005,78,78,NA,78,78,1
"IND",2013,76,76,NA,76,76,1
"PAK",2017,76,76,NA,76,76,1
"UGA",2004,76,76,NA,76,76,1
"CIV",2004,75,75,NA,75,75,1
"DZA",2001,75,75,NA,75,75,1
"ETH",2017,75,75,NA,75,75,1
"PAK",2005,75,75,NA,75,75,1
"EGY",2013,74,74,NA,74,74,1
"ETH",2008,74,74,NA,74,74,1
"KEN",2009,74,74,NA,74,74,1
"RUS",2002,74,74,NA,74,74,1
"UGA",2011,74,74,NA,74,74,1
"HTI",2005,73,73,NA,73,73,1
"IRQ",2014,73,73,NA,73,73,1
"YEM",2012,72,72,NA,72,72,1
"HTI",2019,71,71,NA,71,71,1
"DZA",2002,70,70,NA,70,70,1
"IRN",2002,70,70,NA,70,70,1
"LBY",2019,70,70,NA,70,70,1
"MMR",2001,70,70,NA,70,70,1
"NGA",2019,70,70,NA,70,70,1
"SOM",2009,70,70,NA,70,70,1
"NGA",2008,69,69,NA,69,69,1
"CAF",2003,68,68,NA,68,68,1
"IND",2008,68,68,NA,68,68,1
"YEM",2014,68,68,NA,68,68,1
"IND",2006,66,66,NA,66,66,1
"PHL",2016,65,65,NA,65,65,1
"IRQ",2019,64,64,NA,64,64,1
"MEX",2005,64,64,NA,64,64,1
"PHL",2011,64,64,NA,64,64,1
"RUS",2013,64,64,NA,64,64,1
"IND",2009,63,63,NA,63,63,1
"KGZ",2001,63,63,NA,63,63,1
"LKA",2008,63,63,NA,63,63,1
"MMR",2004,63,63,NA,63,63,1
"MMR",2002,62,62,NA,62,62,1
"PHL",2002,62,62,NA,62,62,1
"KEN",2014,61,61,NA,61,61,1
"AFG",2004,60,60,NA,60,60,1
"CAF",2012,60,60,NA,60,60,1
"IND",2004,60,60,NA,60,60,1
"MMR",2015,60,60,NA,60,60,1
"SOM",2000,60,60,NA,60,60,1
"JOR",2006,59,59,NA,59,59,1
"KEN",2007,58,58,NA,58,58,1
"MLI",2015,58,58,NA,58,58,1
"CIV",2001,57,57,NA,57,57,1
"NER",2016,57,57,NA,57,57,1
"NER",2018,57,57,NA,57,57,1
"PAK",2004,57,57,NA,57,57,1
"PAK",2008,57,57,NA,57,57,1
"PHL",2008,57,57,NA,57,57,1
"TUN",2017,57,57,NA,57,57,1
"CAF",2008,56,56,NA,56,56,1
"KEN",2006,56,56,NA,56,56,1
"SOM",2016,56,56,NA,56,56,1
"TCD",2019,56,56,NA,56,56,1
"MLI",2018,55,55,NA,55,55,1
"TUR",2018,55,55,NA,55,55,1
"YEM",2010,55,55,NA,55,55,1
"ETH",2005,54,54,NA,54,54,1
"PHL",2000,54,54,NA,54,54,1
"IRQ",2001,53,53,NA,53,53,1
"IRQ",2013,53,53,NA,53,53,1
"KEN",2013,53,53,NA,53,53,1
"MMR",2016,53,53,NA,53,53,1
"PHL",2018,53,53,NA,53,53,1
"BDI",2009,52,52,NA,52,52,1
"COD",2006,52,52,NA,52,52,1
"GBR",2006,52,52,NA,52,52,1
"JAM",2002,51,51,NA,51,51,1
"PNG",2013,51,51,NA,51,51,1
"BGD",2001,50,50,NA,50,50,1
"COL",2004,50,50,NA,50,50,1
"GHA",2002,50,50,NA,50,50,1
"MDG",2010,50,50,NA,50,50,1
"MMR",2007,50,50,NA,50,50,1
"TCD",2010,50,50,NA,50,50,1
"BDI",2007,49,49,NA,49,49,1
"DZA",2003,49,49,NA,49,49,1
"DZA",2004,49,49,NA,49,49,1
"SOM",2004,49,49,NA,49,49,1
"TCD",2018,49,49,NA,49,49,1
"TUR",2013,49,49,NA,49,49,1
"KEN",2002,48,48,NA,48,48,1
"KEN",2015,48,48,NA,48,48,1
"NPL",2002,48,48,NA,48,48,1
"NPL",2007,48,48,NA,48,48,1
"PNG",2000,48,48,NA,48,48,1
"LBN",2014,47,47,NA,47,47,1
"MLI",2014,47,47,NA,47,47,1
"NER",2019,47,47,NA,47,47,1
"SOM",2002,47,47,NA,47,47,1
"IND",2018,46,46,NA,46,46,1
"LBN",2016,46,46,NA,46,46,1
"MLI",2013,46,46,NA,46,46,1
"NPL",2004,46,46,NA,46,46,1
"TCD",2005,46,46,NA,46,46,1
"UGA",2008,46,46,NA,46,46,1
"PAK",2013,45,45,NA,45,45,1
"SEN",2006,45,45,NA,45,45,1
"COL",2007,44,44,NA,44,44,1
"DZA",2009,43,43,NA,43,43,1
"MLI",2019,43,43,NA,43,43,1
"AFG",2005,42,42,NA,42,42,1
"CAF",2016,42,42,NA,42,42,1
"CMR",2017,42,42,NA,42,42,1
"IRN",2009,42,42,NA,42,42,1
"IRN",2010,42,42,NA,42,42,1
"LBR",2001,42,42,NA,42,42,1
"IRN",2011,41,41,NA,41,41,1
"PHL",2019,41,41,NA,41,41,1
"SAU",2018,41,41,NA,41,41,1
"TCD",2016,41,41,NA,41,41,1
"TUR",2000,41,41,NA,41,41,1
"AGO",2004,40,40,NA,40,40,1
"DZA",2000,40,40,NA,40,40,1
"LBN",2007,40,40,NA,40,40,1
"SAU",2017,40,40,NA,40,40,1
"TUR",2009,40,40,NA,40,40,1
"COL",2001,39,39,NA,39,39,1
"PHL",2017,39,39,NA,39,39,1
"KEN",2008,38,38,NA,38,38,1
"SOM",2014,38,38,NA,38,38,1
"TUN",2016,38,38,NA,38,38,1
"ETH",2006,37,37,NA,37,37,1
"IND",2015,37,37,NA,37,37,1
"MMR",2014,37,37,NA,37,37,1
"RUS",2012,37,37,NA,37,37,1
"SDN",2018,37,37,NA,37,37,1
"BRA",2010,36,36,NA,36,36,1
"COD",2016,36,36,NA,36,36,1
"COL",2013,36,36,NA,36,36,1
"GHA",2003,36,36,NA,36,36,1
"IND",2012,36,36,NA,36,36,1
"PAK",2006,36,36,NA,36,36,1
"RUS",2004,36,36,NA,36,36,1
"RUS",2009,36,36,NA,36,36,1
"SDN",2019,36,36,NA,36,36,1
"BDI",2015,35,35,NA,35,35,1
"SOM",2003,35,35,NA,35,35,1
"TCD",2004,35,35,NA,35,35,1
"TUR",2008,35,35,NA,35,35,1
"TUR",2012,35,35,NA,35,35,1
"AZE",2017,34,34,NA,34,34,1
"EGY",2019,34,34,NA,34,34,1
"IDN",2005,34,34,NA,34,34,1
"IND",2019,34,34,NA,34,34,1
"MLI",2009,34,34,NA,34,34,1
"CAF",2007,33,33,NA,33,33,1
"CIV",2017,33,33,NA,33,33,1
"DJI",2009,33,33,NA,33,33,1
"DZA",2008,33,33,NA,33,33,1
"ETH",2009,33,33,NA,33,33,1
"IND",2005,33,33,NA,33,33,1
"MAR",2004,33,33,NA,33,33,1
"MMR",2010,33,33,NA,33,33,1
"PHL",2014,33,33,NA,33,33,1
"TJK",2001,33,33,NA,33,33,1
"BDI",2006,32,32,NA,32,32,1
"BEL",2017,32,32,NA,32,32,1
"COL",2010,32,32,NA,32,32,1
"EGY",2005,32,32,NA,32,32,1
"KEN",2010,32,32,NA,32,32,1
"MYS",2014,32,32,NA,32,32,1
"NGA",2007,32,32,NA,32,32,1
"SLE",2002,32,32,NA,32,32,1
"UGA",2002,32,32,NA,32,32,1
"BRA",2005,31,31,NA,31,31,1
"EGY",2015,31,31,NA,31,31,1
"MLI",2010,31,31,NA,31,31,1
"NAM",2001,31,31,NA,31,31,1
"CIV",2006,30,30,NA,30,30,1
"GHA",2001,30,30,NA,30,30,1
"IND",2014,30,30,NA,30,30,1
"MLI",2000,30,30,NA,30,30,1
"MMR",2011,30,30,NA,30,30,1
"MMR",2017,30,30,NA,30,30,1
"PHL",2003,30,30,NA,30,30,1
"SOM",2006,30,30,NA,30,30,1
